Index,LocCode,River,Class,Area,Height_max_nodw,Height_ave_nodw,Height_med_nodw,Height_std_nodw,Crown_max_nodw,Crown_ave_nodw,Crown_med_nodw,Crown_std_nodw,Height_max_conif,Height_ave_conif,Height_med_conif,Height_std_conif,Crown_max_conif,Crown_ave_conif,Crown_med_conif,Crown_std_conif,Height_max_decid,Height_ave_decid,Height_med_decid,Height_std_decid,Crown_max_decid,Crown_ave_decid,Crown_med_decid,Crown_std_decid,Count_full,Count_conif,Count_decid,Count_nodw,Count_deadw,Count_snags,Share_conif,Share_decid,Share_nodw,Share_deadw,Share_snags,Crown_sum_nodw,Crown_sum_conif,Crown_sum_decid,Cover_nodw,Cover_conif,Cover_decid,Mean_Biomass,Median_Biomass,Std_Biomass,Max_Biomass,Min_Biomass,Sum_Biomass,Biomass_Area,Mean_cover,Median_cover,Sd_cover,Max_cover,Min_cover,Mean_shrub,Median_shrub,Sd_shrub,Max_shrub,Min_shrub,Mean_under,Median_under,Sd_under,Max_under,Min_under,LC_meadow,LC_mire,LC_grassland
11,GO_19,GO,100,9431.48766688956,36.29809570312523,17.99576913200591,17.752563476562955,8.080536476525234,116.662023020035,32.49465815364744,28.1870854975423,23.833258433922186,32.32587005209177,14.878445010167747,13.541017301436739,8.533828834517513,58.2991810019594,22.020735667586383,21.2423995068748,15.943282385557813,36.29809570312523,18.867563166079293,18.41781616210949,7.745795303078212,116.662023020035,35.423805967545874,30.963555579292,24.855992944991634,307,66,236,302,1,4,0.21498371335504887,0.7687296416938111,0.9837133550488599,0.003257328990228013,0.013029315960912053,9813.386762401527,1453.3685540607012,8360.018208340827,1.0404919254522988,0.15409748762784656,0.8863944378244524,0.5675050730101717,0.38408679703305565,0.5749567702786477,3.3661525909014585,0.008445007279565177,171.38653204907186,181.7173897716541,0.20101041606782624,0.15299999713897705,0.13560006932244048,0.6230000257492065,0.04699999839067459,0.48318749759346247,0.4934999942779541,0.1641754700449713,0.8240000009536743,0.09600000083446503,0.7102812497566143,0.7304999828338623,0.15243032246208343,0.9729999899864197,0.31700000166893005,0,0,0
12,GO_2,GO,100,6711.9964829369,30.627929687505002,20.442906678962448,24.902954101565,8.50908731013308,126.249883022596,34.32568306160314,30.7833438366652,22.756714307591167,28.141116634123023,11.913383695244347,9.233157649748023,7.617525847214731,69.1089859732892,17.4078776960797,14.9620060010348,15.702028519533206,30.627929687505002,21.248472738535824,25.24090576172,8.156726785251275,126.249883022596,35.92347579056924,32.229088252293906,22.69941327665617,201,17,180,197,0,4,0.0845771144278607,0.8955223880597015,0.9800995024875622,0,0.01990049751243781,6762.159563135818,295.93392083335493,6466.225642302463,1.0074736451853694,0.04409029736318725,0.9633833478221822,0.8039807455375516,0.8449712121198779,0.5937006295850585,2.354246055493683,0.010518051876283577,158.38420687089766,235.97182637615907,0.15539130457825417,0.0989999994635582,0.13744734006861647,0.7580000162124634,0.017999999225139618,0.5276231858609379,0.47099998593330383,0.3085811490943598,1,0.07999999821186066,0.6554057947967363,0.6349999904632568,0.24252697103542478,1,0.21299999952316284,0,0,0
13,GO_20,GO,100,4686.60034544021,30.395996093750227,11.877193709427159,9.029847867842989,7.892850017192551,89.057607002771,20.791870170832155,17.42048374873775,17.152913507563362,29.599795833341773,9.690010001634427,6.177493587248023,7.267026962077685,89.057607002771,19.157604350884128,15.378620251605799,16.43991224998941,30.395996093750227,15.19567933504372,14.045718684904273,7.699335199351599,71.7906370041892,23.27144589764985,21.1748837546475,18.04335331716057,164,88,58,146,4,14,0.5365853658536586,0.35365853658536583,0.8902439024390244,0.024390243902439025,0.08536585365853659,3035.6130449414945,1685.8691828778033,1349.7438620636915,0.6477217644331397,0.35972113229540814,0.2880006321377315,0.275677420098454,0.07116680404992917,0.42011921906239696,2.2070826938482093,0.010300506016648184,40.24890333437428,85.88080989993979,0.5629583345726132,0.5230000019073486,0.2272372438370851,0.9980000257492065,0.20800000429153442,0.5838124969353279,0.6085000038146973,0.13516021128356565,0.8489999771118164,0.30399999022483826,0.7173958302785953,0.7210000157356262,0.12809799017235654,0.921999990940094,0.4180000126361847,0,0,0
14,GO_21,GO,100,4900.03781652823,38.37322998046898,15.504031355380071,14.009463802091773,9.290275343400435,97.1127134989074,27.14669069461503,22.52795934467575,20.867245235649087,35.04724456381052,14.760093996918727,10.727237239591773,9.889995513700306,86.8633550424129,24.83652038560377,21.7649644971825,17.59527600939408,38.37322998046898,16.203332472333734,15.153505094405148,8.680778606610984,97.1127134989074,29.318250785085617,23.58879125510975,23.414326739975305,205,94,100,194,3,8,0.4585365853658537,0.4878048780487805,0.9463414634146341,0.014634146341463415,0.03902439024390244,5266.457994755316,2334.6329162467546,2931.8250785085615,1.0747790510904058,0.47645202009907883,0.5983270309913272,0.5330178665345895,0.19023832204968613,0.847643870207026,5.456021465277133,0.009741300302672631,103.40546610771037,211.0299348280849,0.2996041633499165,0.27549999952316284,0.16871664612093829,0.6779999732971191,0.07400000095367432,0.4922708322604497,0.5115000009536743,0.18240400912182522,0.8669999837875366,0.18199999630451202,0.6958125022550424,0.6974999904632568,0.16324457973387954,0.9729999899864197,0.3970000147819519,0,0,0
15,GO_22,GO,100,9524.50031873584,29.622622981779273,10.1997937818043,7.563113704435523,6.877314220334419,138.426326496556,22.446135642087736,16.827615751361,20.31794729951609,29.622622981779273,9.329926851503403,6.868442073576148,6.508859098197266,138.426326496556,20.909909535474913,15.6458032502833,19.11641240641652,29.192993164062273,14.802839621313202,14.908630371093295,7.00896994447383,103.822808751254,30.575332122913924,24.3856252510304,24.42157857467147,311,254,48,302,4,5,0.8167202572347267,0.15434083601286175,0.9710610932475884,0.012861736334405145,0.01607717041800643,6778.732963910496,5311.117022010628,1467.6159418998682,0.7117153380294304,0.5576268407029207,0.1540884973265097,0.2329144766790278,0.052483460508273724,0.5164153208699566,4.9153223670404795,0.010045489540320869,70.34017195706639,73.8518238260739,0.5197340423597935,0.5294999778270721,0.21524320647052866,0.9599999785423279,0.07000000029802322,0.5599042557655497,0.5674999952316284,0.13978632557093348,0.875,0.23800000548362732,0.73796808878158,0.7515000104904175,0.13114445967112942,0.9679999947547913,0.30399999022483826,0.10308584690490397,0,0.10308584690490397
16,GO_23,GO,100,3684.3855876103,34.17340423177927,16.58067251658658,14.698306575529273,8.817586026422292,107.991034495368,28.157499525223646,25.7058399988423,22.789607339954078,34.17340423177927,12.20530686090145,7.89346481120225,9.428747507189735,83.720293497865,18.766113487547845,15.2626989316195,20.38407473221996,32.67804290365427,18.08941929440904,16.527160644531023,8.11866074412219,107.991034495368,31.39590850373254,30.2091109961038,22.782678170939853,120,30,87,117,0,3,0.25,0.725,0.975,0,0.025,3294.4274444511666,562.9834046264353,2731.444039824731,0.8941592474820039,0.15280252059383057,0.7413567268881733,0.5446364068490377,0.2177492592455545,0.7446869236632557,5.291876787711167,0.009718399410992458,63.722459601337405,172.95274364230679,0.28961111191246247,0.2849999964237213,0.14681831062722708,0.7160000205039978,0.06400000303983688,0.515361117819945,0.5270000100135803,0.22563677034561305,0.8539999723434448,0.11900000274181366,0.6712222264872657,0.7010000050067902,0.17635161769235308,0.9129999876022339,0.30399999022483826,0,0,0
17,GO_24,GO,100,4491.93787900358,37.09588623046852,16.51409566322764,15.334292903654273,8.708875546344613,122.666267908469,28.43376988509916,22.4123035017401,23.601976517930424,34.09936858724802,19.57943309491953,20.168643489591773,9.4316254374207,60.4725464968942,24.96799133850273,21.8055709991604,19.033256722697086,37.09588623046852,15.5529305363412,13.894595638029273,8.279817470762696,122.666267908469,29.520497056489564,22.43601975031195,24.834647593183846,160,37,118,155,0,5,0.23125,0.7375,0.96875,0,0.03125,4407.23433219037,923.8156795246011,3483.4186526657686,0.9811432060961629,0.2056608315628634,0.7754823745332994,0.5418354542512596,0.226520848018932,0.7541335551671136,3.4149264366870384,0.01055175662518907,83.98449540894524,186.96717913555614,0.2572325576356677,0.2070000022649765,0.1750946472642063,0.7630000114440918,0.03799999877810478,0.493558139995087,0.4690000116825104,0.19645322954255698,0.9070000052452087,0.14100000262260437,0.7089767400608507,0.7160000205039978,0.15756381626392285,0.972000002861023,0.36500000953674316,0,0,0
18,GO_25,GO,100,7509.40491610742,30.212344661466773,8.762736913787267,4.970886230468523,7.276628608218756,106.851413019816,17.444305086386116,13.2288489992643,16.02769055376283,30.212344661466773,8.512330668100809,4.948974609375455,7.135350044971906,106.851413019816,17.67690841315034,13.2583585011598,16.15475929557685,23.715762630216773,18.194705501310523,21.230594173185523,7.513987399715725,14.5595905897208,8.682913111600417,9.24077870044857,6.174540334216836,163,113,3,116,14,33,0.6932515337423313,0.018404907975460124,0.7116564417177914,0.08588957055214724,0.20245398773006135,2023.5393900207896,1997.4906506859884,26.04873933480125,0.26946734296886377,0.26599852757992026,0.0034688153889434812,0.1836792829931382,0.025714121710035093,0.41733883922163206,2.7435689439503865,0.008527142343476313,21.306796827204035,28.373482406710654,0.8670800010363261,0.9359999895095825,0.16553057667376173,0.9929999709129333,0.1340000033378601,0.6414266687631607,0.6600000262260437,0.13811982570136916,0.8690000176429749,0.16500000655651093,0.6772799984614054,0.6990000009536743,0.12432461352557059,0.8790000081062317,0.2619999945163727,0,0,0
19,GO_26,GO,100,2335.72333731502,39.02399016927927,30.05598282403123,32.39148284506052,7.423134492736487,99.6819862406701,23.900225581575945,23.4636011070106,18.909473978232235,39.02399016927927,30.255619137114294,32.51575042318552,7.322976059181055,99.6819862406701,24.256832296741305,23.7133885712142,18.88851704141438,22.346744075529273,18.976167447921,18.976167447921,4.7667151797813885,5.64712717896327,4.108552889898415,4.108552889898415,2.1758726263140606,117,111,2,113,0,4,0.9487179487179487,0.017094017094017096,0.9658119658119658,0,0.03418803418803419,2700.725490718082,2692.508384938285,8.21710577979683,1.1562694295047127,1.1527514161987178,0.0035180133059948037,2.0478624308655666,1.9244451136136311,1.324601163912534,9.237454753829603,0.016194838027569783,231.40845468780904,990.7357219533525,0.17774073972746177,0.14399999380111694,0.09339642149844822,0.40400001406669617,0.06599999964237213,0.7991851877283167,0.8220000267028809,0.13712600198707423,0.9710000157356262,0.3330000042915344,0.8818888840851961,0.9179999828338623,0.11259878836855204,0.9879999756813049,0.5109999775886536,0,0,0
20,GO_27,GO,100,11075.2414825857,30.385440364591773,9.131506358948512,7.907535091154273,4.519777163151378,107.100306496955,23.626162533173797,20.2874225007981,17.789997917575757,30.385440364591773,8.42282585103647,7.093966975919898,4.13180902001232,101.639078498702,21.592680928413596,18.7238222503656,15.46055943580131,23.974365234375227,13.737929660376784,13.771699674483273,4.243399753562641,107.100306496955,36.84379296411509,28.8185317475909,25.050482092536992,459,390,60,450,4,5,0.8496732026143791,0.13071895424836602,0.9803921568627451,0.008714596949891068,0.010893246187363835,10631.773139928207,8421.145562081303,2210.6275778469053,0.9599585847988249,0.7603577380522494,0.19960084674657563,0.1265764414712753,0.058958110377907394,0.2231796310609008,2.4128582470364046,0.013606300332071674,56.95939866207389,51.42948688896286,0.3729107141760843,0.3695000112056732,0.20099372752418052,0.8190000057220459,0.041999999433755875,0.3457321422174573,0.33500000834465027,0.168704121000865,0.6930000185966492,0.06199999898672104,0.6055267839027303,0.62049999833107,0.1671049155180631,0.9049999713897705,0.18299999833106995,0,0,0
21,GO_28,GO,100,5877.93929780833,35.88940764974802,20.783197578096356,21.90457153320301,9.5534305482015,107.755226506823,28.980991204853805,25.65363500360035,20.738853520370473,35.88940764974802,20.744246726437005,22.661838069669898,10.015479295461452,81.8264796733856,27.337294425614697,23.92415374785195,19.21654698891994,32.24340820312523,21.01690268805245,21.654510498046534,6.228433750710296,107.755226506823,38.84317188028844,35.0247570027159,26.57824598385961,202,156,26,182,4,16,0.7722772277227723,0.12871287128712872,0.900990099009901,0.019801980198019802,0.07920792079207921,5274.540399283392,4264.6179303958925,1009.9224688874995,0.8973451633381236,0.7255294269517233,0.1718157363864004,1.0054733451316784,0.6601279862336433,1.0942223987192554,4.774248639673749,0.011619866323426315,182.99614881396548,311.3270476988391,0.3262033908927845,0.1979999989271164,0.2700410424644155,0.9490000009536743,0.05999999865889549,0.6467118652190192,0.6119999885559082,0.19472935080252488,0.9629999995231628,0.289000004529953,0.7891864433126935,0.7950000166893005,0.16704856564608433,0.9950000047683716,0.3440000116825104,0,0,0
22,GO_29,GO,100,6291.00128515344,31.780693469515427,15.002356345757148,11.059135852327927,10.707474194395216,104.2736264962,24.846710893747296,21.9745262432116,17.27705632309717,31.780693469515427,10.756194729214748,5.376854358187302,9.086185807397841,101.591519505741,20.890885751399985,18.2841537496424,15.357625095357472,31.332458496093977,24.41276857701328,27.45617675781284,7.58958885712092,104.2736264962,33.61367472273323,32.0098770018376,18.148965490195568,253,164,74,238,0,15,0.6482213438735178,0.2924901185770751,0.9407114624505929,0,0.05928853754940711,5913.517192711856,3426.1052632295973,2487.411929482259,0.9399961825898153,0.5446041270592481,0.3953920555305673,0.5444770962690784,0.1214689653999603,0.6352600404375774,2.839035890589558,0.009174338545799061,129.58554891204065,205.98557056069652,0.4746190471545098,0.5059999823570251,0.23522284662315018,0.9629999995231628,0.07500000298023224,0.5003174588320747,0.47999998927116394,0.20336165575447648,0.9620000123977661,0.20000000298023224,0.5906666649712456,0.5789999961853027,0.179298813963631,0.9710000157356262,0.29499998688697815,0,0,0
23,GO_3,GO,100,9796.68932634033,38.1174316406275,26.774656928813563,26.9803466796875,4.005436503113459,122.143966002826,41.1055789313313,38.6907059950754,23.16024971204238,34.588864452425696,27.82597308760562,29.472043163363196,5.866117324413923,84.2507810001262,38.65562499936533,38.6331729972735,21.494973287968847,38.1174316406275,26.628886200913826,26.80865478515375,3.6682335358919156,122.143966002826,41.44527842609969,38.72980299871415,23.40404701237454,272,33,238,271,1,0,0.1213235294117647,0.875,0.9963235294117647,0.003676470588235294,0,11139.611890390783,1275.6356249790558,9863.976265411728,1.137079223329022,0.13021088885091597,1.006868334478106,1.437516986984825,1.3492096829451035,0.791924335277944,5.586183165590705,0.08947110974549558,389.5671034728876,397.6517887787455,0.05605102081460004,0.05350000038743019,0.02207175405057644,0.1469999998807907,0.017000000923871994,0.92759183748644225,0.9625000059604645,0.10969036565439613,1,0.33399999141693115,0.9776530606406075,0.9914999902248383,0.03982852427101242,1,0.7680000066757202,0,0,0
24,GO_30,GO,100,6630.27398200147,36.16034270834177,15.92548628107997,14.818939208984375,6.645347223851489,123.033995500649,33.48265433627859,28.572022776454098,25.256449107373736,36.16034270834177,14.709021549487245,12.713321223966773,7.256567381382659,100.352249989519,23.891217397832357,18.6345915040001,20.902666752951287,28.73748779296875,17.06283135533333,16.403381347656023,5.820964975547339,123.033995500649,42.450257977915314,39.3566754891654,25.750943851898324,241,115,123,238,0,3,0.47717842323651455,0.5103734439834025,0.9875518672199171,0,0.012448132780082987,7968.871732034305,2747.490000750721,5221.381731283584,1.201891770033424,0.41438559073260806,0.7875061793008158,0.4235726905785042,0.24423900890391514,0.635595989591504,8.03318565937918,0.010767139963503116,100.810300357684,152.04545186419665,0.13378787926877989,0.10950000211596489,0.09407975707288689,0.5730000138282776,0.028999999165534973,0.37565151342388353,0.33500000834465027,0.1972657306060777,0.8289999961853027,0.07199999690055847,0.657015147985834,0.6550000011920929,0.16343876544440183,0.9319999814033508,0.27799999713897705,0,0,0
25,GO_31,GO,100,6557.94262914173,37.73181487631052,20.116826109376692,23.604312434904273,9.814749631540803,117.522610002896,22.418609757009175,18.9557770038955,16.177889168736684,37.73181487631052,20.18751605540162,23.642581477873023,9.783477261570448,117.522610002896,22.494462463406222,19.04747275286355,16.178169380715886,5.130557552091773,5.130557552091773,5.130557552091773,0,6.33783600083552,6.33783600083552,6.33783600083552,0,247,212,1,213,23,11,0.8582995951417004,0.004048582995951417,0.8623481781376519,0.0931174089068826,0.044534412955465584,4775.1638782429545,4768.826042242119,6.33783600083552,0.7281496878340187,0.7271832511999634,9.664366340553034e-4,0.8478479280261955,0.7203525107175643,0.8441894467566355,4.35660059483816,0.013425566379415237,180.5916086695796,275.3784515696724,0.3838750015711412,0.3160000145435333,0.2353654714144254,0.9369999766349792,0.10300000011920929,0.6865624993806705,0.7619999945163727,0.23732824376943254,0.9679999947547913,0.08399999886751175,0.8001874987967312,0.8734999895095825,0.17381032021091591,0.9860000014305115,0.33399999141693115,0,0,0
