LocCode,AS_Coniferous,AS_Deciduous,AS_Deadwood,AS_Mixed,AS_Meadow,River,Class,AS_Clearcut,AS_Shrub
GO_6,0.08673816668959809,0.342638434413675,NA,0.5706233988765613,NA,GO,500,NA,NA
GO_7,0.05869748538642979,0.4194454726540842,NA,0.2836878177976835,0.15816933736271171,GO,500,NA,NA
GO_8,NA,0.17680497891445937,0.02448240233175753,0.7987126187576766,NA,GO,500,NA,NA
GO_9,0.02630138663247811,0.6200257021227965,0.07115556848054473,0.26113603274193814,0.014037475629968217,GO,500,NA,NA
GO_1,0.12314222960622592,0.7491608316592755,0.033885312538892105,0.04864613992538762,0.0032289983379470786,GO,Stream,NA,NA
GO_10,8.548286050099152e-4,0.2696740373752439,NA,0.7294711340159541,NA,GO,Stream,NA,NA
GO_11,0.002911272922818832,0.7834964705961752,0.009192961035046238,0.20390720066067833,NA,GO,Stream,NA,NA
GO_12,0.027648798029313176,0.45137014774467676,0.011176896016277946,0.4994590777741325,0.0032200374162148124,GO,Stream,NA,NA
GO_13,0.027345190874586794,0.549180492802072,0.02763870639732356,0.3882693522330872,NA,GO,Stream,NA,NA
GO_14,0.0023486162847459434,0.7551774678177781,0.005098677146741235,0.2341268929821871,NA,GO,Stream,NA,NA
GO_15,0.08015880496783023,0.5317000968684563,0.02869553343402109,0.3172711375341785,0.00782740656130464,GO,Stream,NA,NA
GO_16,NA,0.11120422124600633,NA,0.888795778760444,NA,GO,Stream,NA,NA
GO_17,NA,0.37489756601988533,NA,0.6251024339842247,NA,GO,Stream,NA,NA
GO_18,0.015008633723175775,0.32402765438410347,0.006043238337796999,0.6464131603992219,0.0013078582339553452,GO,Stream,NA,NA
GO_19,0.032293018585656766,0.7371960408358921,NA,0.22613965311818185,NA,GO,Stream,NA,NA
GO_2,NA,0.173632661483217,NA,0.8263673385163572,NA,GO,Stream,NA,NA
GO_20,0.005698621757538764,0.27442744823690784,0.004856594003794341,0.7134202468733957,NA,GO,Stream,NA,NA
GO_21,NA,0.9101419881878643,NA,0.08485784301884833,NA,GO,Stream,NA,NA
GO_22,0.026010572430395836,0.19367788257038954,4.19583468667612e-4,0.7714088907375493,0.002601630608533282,GO,Stream,NA,NA
GO_23,0.03602770183400512,0.7826479236853292,0.024524424132875953,0.15111434510712027,NA,GO,Stream,NA,NA
GO_24,NA,0.6473574127347199,NA,0.3526425872647572,NA,GO,Stream,NA,NA
GO_25,0.28554808483238964,0.2756326974479985,0.04793592215181135,0.39088329556987217,NA,GO,Stream,NA,NA
GO_26,0.07076052137345853,0.06717692322580532,0.012520153994996945,0.8495424014070087,NA,GO,Stream,NA,NA
GO_27,0.012980713855672999,0.3359002779532926,0.005225600378716321,0.6376806082800187,0.0011309076525940396,GO,Stream,NA,NA
GO_28,0.059240071145999336,0.49512128597180327,0.023043700964272096,0.3957143811291051,0.004849755028591946,GO,Stream,NA,NA
GO_29,NA,NA,NA,1.0000000000024634,NA,GO,Stream,NA,NA
GO_3,0.010858984873921137,0.3784913110722374,NA,0.6106497040491713,NA,GO,Stream,NA,NA
GO_30,0.017032658292582166,0.3765409797249779,0.004819174384255946,0.5897338448738195,0.0013055576204471875,GO,Stream,NA,NA
GO_31,0.2367708167576568,0.5038336443613443,0.031060957710844255,0.22833458115750038,NA,GO,Stream,NA,NA
GO_32,0.020699618211341173,0.06945546222109014,0.019458582081026476,0.8895906264848512,7.957110056950771e-4,GO,Stream,NA,NA
GO_33,0.11293435696646824,0.6899320153261084,0.027434435281267062,0.16779945429092455,NA,GO,Stream,NA,NA
GO_34,0.03395327808948976,0.14680285331987508,0.022668723707555113,0.7955043240607866,6.335882456278095e-4,GO,Stream,3.708088247270123e-4,NA
GO_35,NA,0.9841193820253767,NA,0.005231726151935846,NA,GO,Stream,NA,NA
GO_36,0.07172388573456004,0.2522769997537828,NA,0.6517846885539308,NA,GO,Stream,0.015084416058083258,NA
GO_37,0.2918018525841394,0.2844861949479337,0.042658498337395594,0.34761025663644163,0.012025747756566599,GO,Stream,NA,0.016486716922976194
GO_38,0.12690945001992573,0.691031687839475,0.013002527301040302,0.1616262387537394,0.0028261629302261115,GO,Stream,NA,NA
GO_39,0.19294710238661902,0.5496240109096002,0.020036940463995147,0.2154503912047611,0.011109273796067751,GO,Stream,NA,0.004806110465711025
GO_4,0.08741589277137177,0.6086777462509405,0.035510035556122914,0.2510224801040258,0.0022103133135770296,GO,Stream,NA,NA
GO_40,0.02931364511904367,0.24861144879384584,0.01578036876707448,0.7007808380986067,0.0015060237205456282,GO,Stream,2.284838493866503e-4,NA
GO_41,0.0829556468231165,0.32417795754391837,0.009224291371279827,0.5759985989967084,0.0015908334514892067,GO,Stream,NA,NA
GO_42,0.10812529259911434,0.5191404771306815,0.02369106732635829,0.32513236550081276,0.006572840540089042,GO,Stream,NA,0.0013577034288620973
GO_43,0.10937032181629328,0.15911899676043406,NA,0.7157198665113661,NA,GO,Stream,NA,NA
GO_44,0.07975578417098608,0.38441121625797664,0.01840202351380295,0.5008600505967232,0.004500524187803383,GO,Stream,7.814484169073359e-5,6.259446971933929e-4
GO_45,0.002018389580397844,0.17513960367669476,NA,0.7994522815507902,NA,GO,Stream,NA,NA
GO_46,0.274680330110613,0.3810733407183351,NA,0.33924685488504835,0.002774786258479265,GO,Stream,NA,NA
GO_47,0.2810508750905371,0.2375869903050604,0.0040158076053405396,0.46164002145186434,0.002591142456471275,GO,Stream,0.0038769164020025938,NA
GO_48,0.11445381158984488,0.3673087358773534,0.01679891057419888,0.4849865886104747,0.004157491529993338,GO,Stream,2.3164718712146936e-4,5.322643273805273e-4
GO_5,0.009969607161214126,0.5434659358606101,0.009030257877998125,0.3285899615287402,0.002399109816249807,GO,Stream,NA,NA
GO_6,0.05060869491454231,0.711098094341573,0.030041824705699764,0.18127969998023122,0.012758803425231105,GO,Stream,NA,NA
GO_7,0.24718682837283357,0.5197186526721556,0.0352010417806913,0.14999829849880783,0.029689250949699274,GO,Stream,NA,NA
GO_8,0.0038653264369469293,0.24613043145163183,0.02088177297784622,0.7291224691423553,NA,GO,Stream,NA,NA
GO_9,0.09581061322329243,0.5921402496842351,0.02824475090534565,0.23440910686034103,0.009124840432443502,GO,Stream,NA,NA
GO_1,0.1252392569279205,0.7709400530807989,0.012664370842868762,0.028456027337383887,0.006953762925958609,GO,Catch,NA,NA
GO_10,6.74500500073843e-4,0.5419384177130971,NA,0.4573870817826491,NA,GO,Catch,NA,NA
GO_11,0.0015430742187042296,0.7940908603764212,0.01841176921531465,0.1856934691258774,NA,GO,Catch,NA,NA
