LocCode,Area_full,Share_full,River,Class
GO_31,40458.74985854635,0.5012286111217203,GO,Stream
GO_32,174733.53119280137,0.2136397712142173,GO,Stream
GO_33,131077.8501676335,0.3053938560546451,GO,Stream
GO_34,761779.4834384236,0.3434804556353567,GO,Stream
GO_35,38109.18501477476,0.41799939167225425,GO,Stream
GO_36,51432.428470290004,0.36499960831816936,GO,Stream
GO_37,235456.79664809472,0.5573863553986002,GO,Stream
GO_38,267919.32172006415,0.3325323590717836,GO,Stream
GO_39,611657.49646767,0.4220976868517449,GO,Stream
GO_4,190512.5687993063,0.32123087313601634,GO,Stream
GO_40,1329893.8113616416,0.3494773562168357,GO,Stream
GO_41,719857.8902297193,0.3779046359875989,GO,Stream
GO_42,1762098.6448793437,0.34351527444524604,GO,Stream
GO_43,14264.504155430244,0.38644692837210176,GO,Stream
GO_44,3973284.493350249,0.3571055070669969,GO,Stream
GO_45,1948.0219692011556,0.554286143598031,GO,Stream
GO_46,157957.9375346346,0.5858730614273036,GO,Stream
GO_47,269600.22102568223,0.4835495646927175,GO,Stream
GO_48,5036534.319065137,0.38491964702837894,GO,Stream
GO_5,131946.6231659306,0.30359537655515056,GO,Stream
GO_6,33779.1378890064,0.3389957521147849,GO,Stream
GO_7,151997.90888893497,0.3977030420702268,GO,Stream
GO_8,14331.515570741998,0.2542070845732891,GO,Stream
GO_9,539043.6052469499,0.342824229826722,GO,Stream
