LocCode,Area,Count_full,Height_max_full,Height_ave_full,Height_med_full,Height_std_full,Biomass_sum_full,Biomass_max_full,Biomass_ave_full,Biomass_med_full,Biomass_std_full,Crown_sum_full,Crown_max_full,Crown_ave_full,Crown_med_full,Crown_std_full,Height_max_nodw,Height_ave_nodw,Height_med_nodw,Height_std_nodw,Biomass_sum_nodw,Biomass_max_nodw,Biomass_ave_nodw,Biomass_med_nodw,Biomass_std_nodw,Crown_sum_nodw,Crown_max_nodw,Crown_ave_nodw,Crown_med_nodw,Crown_std_nodw,Height_max_conif,Height_ave_conif,Height_med_conif,Height_std_conif,Biomass_sum_conif,Biomass_max_conif,Biomass_ave_conif,Biomass_med_conif,Biomass_std_conif,Crown_sum_conif,Crown_max_conif,Crown_ave_conif,Crown_med_conif,Crown_std_conif,Height_max_decid,Height_ave_decid,Height_med_decid,Height_std_decid,Biomass_sum_decid,Biomass_max_decid,Biomass_ave_decid,Biomass_med_decid,Biomass_std_decid,Crown_sum_decid,Crown_max_decid,Crown_ave_decid,Crown_med_decid,Crown_std_decid,Count_conif,Count_decid,Count_deadw,Count_snags,Share_conif,Share_decid,Share_deadw,Share_snags,Cover_nodw,Cover_conif,Cover_decid,River,Class
V_18,1221122.04445088,48640,36.050537338814365,13.499870824579657,12.661436310371982,6.494329928008125,5350151.917433227,1135.3273817458112,109.9948996182818,80.953691626997,96.80492822428643,889763.948933563,110.587648503162,18.29284434485121,16.48872624759315,10.56591366879213,36.050537338814365,11.589398596185433,10.800537338814365,5.761206841084664,3747215.3401954756,1135.3273817458112,109.5580896469747,80.84113049897633,96.43639477850242,657744.4072888286,110.587648503162,19.230605715546258,17.4734680028778,10.83267052425268,36.050537338814365,11.589398596185433,10.800537338814365,5.761206841084664,3747215.3401954756,1135.3273817458112,109.5580896469747,80.84113049897633,96.43639477850242,657744.4072888286,110.587648503162,19.230605715546258,17.4734680028778,10.83267052425268,28.4211425781275,12.822247615690085,12.427734489718432,6.117086204628815,106268.87790926728,715.421157502884,74.00339687274881,50.90469237218384,77.1243347529284,19358.998559249085,68.4722930096905,13.481196768279307,11.55683549998505,9.327369544340653,32767,1436,13233,1204,0.6736636513157894,0.029523026315789475,0.27206003289473685,0.02475328947368421,0.5386393688311526,0.5386393688311526,0.01585345105120474,VY,Catch
V_19,799429.379810169,16854,33.71508473667495,9.342815587417402,7.271664326518703,6.513656071415503,1549032.556938564,1549.5162390071882,91.90889740943182,56.05112737563925,119.25865953719061,343499.941700018,139.409390997142,20.380915017207666,17.8982782479725,14.327578338096206,32.82470387729995,8.406230709857981,6.2220458984375,5.994207181023523,1306146.9234905082,1549.5162390071882,98.59945070510366,59.35562900041096,125.95655724322353,294302.65287838277,139.409390997142,22.21655113447443,19.9175494975643,14.656108774751642,32.82470387729995,8.406230709857981,6.2220458984375,5.994207181023523,1306146.9234905082,1549.5162390071882,98.59945070510366,59.35562900041096,125.95655724322353,294302.65287838277,139.409390997142,22.21655113447443,19.9175494975643,14.656108774751642,32.82470387729995,15.513846783727086,15.881101938648726,5.794932713616116,212416.74225391552,1464.2971649774445,219.43878332016067,150.88860387591166,215.4892408403606,31718.521217586884,139.409390997142,32.76706737354017,28.543734248203698,22.932266892255072,12279,968,2906,701,0.7285510857956569,0.057434436928918954,0.17242197697875875,0.04159250029666548,0.3681409018871277,0.3681409018871277,0.039676451752522164,VY,Catch
V_2,2081027.28047079,51266,27.28247178274796,7.97514541639869,6.999022609774329,3.5922678752373427,2379049.2648885343,967.8135245025653,46.40598573886268,38.60447649951363,40.614368435350514,609655.9007229826,94.113137996872,11.892012263936774,10.76873524839175,7.710335302266342,27.28247178274796,7.192139056043047,6.59520293783396,2.932523372900927,1963487.2377937972,967.8135245025653,50.585784820141626,42.563185249949186,42.223514578076546,502546.4004917475,94.113137996872,12.947221447681244,11.7626600014046,7.699604210537902,27.28247178274796,7.192139056043047,6.59520293783396,2.932523372900927,1963487.2377937972,967.8135245025653,50.585784820141626,42.563185249949186,42.223514578076546,502546.4004917475,94.113137996872,12.947221447681244,11.7626600014046,7.699604210537902,25.10608018118546,11.603809521875348,11.398190624300696,4.667855853471525,32034.384349017455,785.1787374962448,40.80813292868466,27.34060049553591,52.88252274626676,6200.739956580058,63.3872059988789,7.899031791821729,5.82187300163787,7.531165892151783,38030,785,7622,4829,0.7418171887800882,0.015312292747630008,0.14867553544259354,0.09419498302968829,0.2414895783480823,0.2414895783480823,0.002979653373490263,VY,Catch
V_20,4174427.60638529,94351,34.38171071323745,11.117788518903938,9.661743164059999,6.631004006522897,10065473.99990574,1553.8048490043548,106.68115865126751,56.28341550151148,142.89056514171745,1865555.471690446,150.924236492807,19.772503436004346,16.101789000626,15.530847712774385,34.33788747104995,10.490211543084152,8.664608662456203,6.603735972173426,8384709.305573134,1553.8048490043548,121.65857959334204,63.05391050022777,156.52878465125207,1530910.6669362355,150.924236492807,22.21286516158206,18.69218849972825,16.444512587456757,34.33788747104995,10.490211543084152,8.664608662456203,6.603735972173426,8384709.305573134,1553.8048490043548,121.65857959334204,63.05391050022777,156.52878465125207,1530910.6669362355,150.924236492807,22.21286516158206,18.69218849972825,16.444512587456757,32.82470387729995,17.167838252824726,18.3658447265625,5.32207570055706,1873753.359740544,1492.9303057386464,241.36974877502823,192.93116950018157,200.96016218888684,276093.3483686055,141.395329496241,35.56529027033434,32.4528299984522,22.379961114731294,61157,7763,21039,4392,0.6481860287649309,0.08227787728799907,0.22298650782715604,0.04654958611991394,0.3667354692160724,0.3667354692160724,0.06613921102531217,VY,Catch
V_21,1063519.33117759,27887,37.9517822265625,12.653352283136778,11.28039427788076,7.711048329929555,2351949.7063955762,1342.437499964377,84.33857017232317,59.66530500230422,84.42221533095665,434582.48333882244,94.5000000074506,15.583694314154352,13.7847584998235,10.726335542119116,37.11962575229995,10.32115784072985,9.253295898440001,6.0277104878650984,1687561.1680033784,1342.437499964377,87.08195304212697,61.28423824871315,87.56167661976652,323472.359335183,94.5000000074506,16.691901508601216,15.1237684943553,11.302190475503881,37.11962575229995,10.32115784072985,9.253295898440001,6.0277104878650984,1687561.1680033784,1342.437499964377,87.08195304212697,61.28423824871315,87.56167661976652,323472.359335183,94.5000000074506,16.691901508601216,15.1237684943553,11.302190475503881,34.90075751335439,16.43784748422877,16.37487792969,7.481172944614227,103975.09829751654,540.9488742569317,60.697663921492435,41.05821200156788,65.17919664101615,18390.123874784753,55.7791095005232,10.735623978274813,9.34235800197348,8.263178399908828,17666,1713,7282,1226,0.6334851364435041,0.06142647111557357,0.2611252554953921,0.043963136945530175,0.30415277828285053,0.30415277828285053,0.017291762674799854,VY,Catch
V_22,298432.122706622,7012,33.25951833042495,12.177097889351536,10.363706919119977,7.753156362258309,746747.2878654947,1360.832542481312,106.49562006068093,52.09039112254453,146.44104427168233,144290.3591137013,130.725590501679,20.57763250338011,16.3152852511266,16.759872279007503,33.25951833042495,11.738832032423792,9.312924092143703,8.006229426422202,620490.8380887477,1360.832542481312,131.85100681868843,62.947913749217534,166.79173536141394,114533.90681221298,130.725590501679,24.337846751426476,20.6787187518057,18.148858650981374,33.25951833042495,11.738832032423792,9.312924092143703,8.006229426422202,620490.8380887477,1360.832542481312,131.85100681868843,62.947913749217534,166.79173536141394,114533.90681221298,130.725590501679,24.337846751426476,20.6787187518057,18.148858650981374,29.9750976562525,20.39639761869914,22.28076171875,5.620233256588793,348517.28658225806,1360.832542481312,284.0401683636985,239.7096469828757,212.26084619022444,46836.97634214624,120.60126650446,38.17194485912489,35.7707015005872,21.37324556512924,3479,1227,1839,467,0.49614945807187677,0.17498573873359954,0.2622646891043925,0.06660011409013121,0.38378545102132716,0.38378545102132716,0.15694348154400928,VY,Catch
V_23,2206269.38284677,50048,36.99718922886245,10.164802383060064,8.809873911308728,5.64927478654734,3935151.894131593,1591.4377442495445,78.62755542941962,42.88481749919055,109.86326110950553,815630.193996629,169.816421006806,16.296958799485072,12.9749599973147,13.65359186826591,36.99718922886245,9.861263579966858,8.573483174174953,5.428030810948923,3215657.449215892,1591.4377442495445,91.33055324536033,51.168945248657295,121.06688607876066,639639.1487760063,169.816421006806,18.16692177500089,14.8021110011468,14.67563647294338,36.99718922886245,9.861263579966858,8.573483174174953,5.428030810948923,3215657.449215892,1591.4377442495445,91.33055324536033,51.168945248657295,121.06688607876066,639639.1487760063,169.816421006806,18.16692177500089,14.8021110011468,14.67563647294338,29.480831806987453,14.244239625033188,14.914974873393703,5.375952678022416,625478.8379609463,1321.904186752473,200.21729768276128,139.45861336954226,199.00847531131333,96489.05273521724,136.110669988673,30.88638051703497,26.80091974910465,22.528247793814565,32085,3124,11072,3767,0.6410845588235294,0.06242007672634271,0.22122762148337596,0.07526774296675191,0.28991888014630107,0.28991888014630107,0.043734030615389545,VY,Catch
V_24,3347955.22060695,101243,35.057739487251865,17.29322100017196,18.261474838814365,6.62141448938871,17150165.97349371,2630.098778966367,169.39606662676638,137.867468997972,130.86999574281228,2290789.8640806177,240.835957014235,22.626649388902123,20.8577660026494,11.865609667236805,35.057739487251865,17.41088400192224,18.366516342720615,6.5743462631827745,16997152.51779039,2630.098778966367,172.0464048200335,140.44991412438998,130.80095406011998,2258371.242302597,240.835957014235,22.859396747804492,21.060443496862753,11.753062094556482,35.057739487251865,17.41088400192224,18.366516342720615,6.5743462631827745,16997152.51779039,2630.098778966367,172.0464048200335,140.44991412438998,130.80095406011998,2258371.242302597,240.835957014235,22.859396747804492,21.060443496862753,11.753062094556482,32.9793701171875,15.148977643989989,15.654541015622499,7.072451442866715,528799.7948283063,2630.098778966367,151.8230820638261,108.19897999907546,149.97929441161796,74082.56707470561,240.835957014235,21.269757988718233,18.4900615026709,15.29839747561606,95311,3483,1671,778,0.9414082948944619,0.03440237843604002,0.016504844779392156,0.007684481890105983,0.6745524039276658,0.6745524039276658,0.0221277054778753,VY,Catch
V_25,2209965.20478362,48369,39.96179270625771,14.086783558048555,13.326536892659078,7.1003217250310495,6214075.9121121,1549.1036344939744,128.47228415125596,78.8104920028668,140.2699463589143,919574.1588786128,125.467358006397,19.01164297129593,16.7422160022834,12.744107946880598,39.96179270625771,14.049812052198607,13.238035916096578,7.219700195299981,5183652.6272775885,1549.1036344939744,145.5632424609696,94.4204407459452,149.56213659300863,736281.9187270001,125.467358006397,20.67568781351268,18.4700059956958,13.163922634977412,39.96179270625771,14.049812052198607,13.238035916096578,7.219700195299981,5183652.6272775885,1549.1036344939744,145.5632424609696,94.4204407459452,149.56213659300863,736281.9187270001,125.467358006397,20.67568781351268,18.4700059956958,13.163922634977412,31.864866970784078,14.020695512144078,12.819336294536356,7.0432987447488316,246425.60827610834,1424.6777192634597,101.24306009700425,49.86910199658723,132.19294721769126,36047.98724951652,109.736415502965,14.81018375082848,11.648585499002401,12.38132744381429,33177,2434,10955,1803,0.6859145320349811,0.0503214869027683,0.22648803986024107,0.037275941202009555,0.33316448473182647,0.33316448473182647,0.016311563264203528,VY,Catch
V_26,734824.964774922,25418,39.25903014284779,12.697824941461873,12.286312857691541,6.075729315957073,2966288.207643791,1614.5875447257185,116.70029930143171,90.66500149867531,108.51693409421635,491733.4586224825,180.454684507102,19.345875309720768,17.04650300036885,12.957552833410231,39.25903014284779,12.323958973386985,12.2116088867175,5.247034343359272,2677441.795545613,1614.5875447257185,124.82246133079781,99.80679899802979,107.88651177878393,433958.3759631407,180.454684507102,20.231159718561337,17.9542630005526,12.72995412256598,39.25903014284779,12.323958973386985,12.2116088867175,5.247034343359272,2677441.795545613,1614.5875447257185,124.82246133079781,99.80679899802979,107.88651177878393,433958.3759631407,180.454684507102,20.231159718561337,17.9542630005526,12.72995412256598,34.30614928347279,16.463652260429452,16.59557799441029,7.403522559390944,297186.8324388947,1579.4058087366366,163.73930161922576,93.85768500413124,196.21554718556172,46943.009730065685,180.454684507102,25.86391720664776,18.3795695014705,22.96568677185073,19635,1815,3184,784,0.772484066409631,0.07140609017231883,0.12526555983948384,0.030844283578566372,0.5905601970070012,0.5905601970070012,0.06388325380921754,VY,Catch
V_27,1051823.04020473,26533,34.85326833042495,11.136783173043765,10.255982106059719,5.806636452789633,2403101.0279959794,1322.9635922584682,90.57027203844193,53.2242007506509,109.99572398490001,445364.9943632024,117.653929503635,16.785323723785567,14.1889924998395,12.536994228224803,34.85326833042495,10.819479952053815,10.177853291362453,5.44319182564397,1896736.9484223428,1322.9635922584682,108.39116226197741,67.20284924831893,122.88588485758612,329446.04220286844,117.653929503635,18.826563929531314,16.3155474996311,13.418808715650888,34.85326833042495,10.819479952053815,10.177853291362453,5.44319182564397,1896736.9484223428,1322.9635922584682,108.39116226197741,67.20284924831893,122.88588485758612,329446.04220286844,117.653929503635,18.826563929531314,16.3155474996311,13.418808715650888,33.40979003906,13.816742481618743,13.536129658549953,5.392203667381905,172202.80939145834,1025.7912947626119,140.0022840580962,75.40382450008394,168.19511641122693,28440.492882300747,114.365564987762,23.122351936829876,16.3067567505277,21.130866656340856,16269,1230,7427,1607,0.6131609693589115,0.04635736629857159,0.27991557682885465,0.060566087513662235,0.3132143237124223,0.3132143237124223,0.027039237395641198,VY,Catch
V_28,7106319.81820277,209417,36.266968002876865,17.89264839521762,18.992064236409078,6.75566438638718,37472423.98013148,2630.098778966367,178.93687704499385,145.5082370026562,139.61795201406986,4837270.508789999,240.835957014235,23.098747994623164,21.2772975006083,12.328566972014487,36.266968002876865,18.013100512896838,19.112671127876865,6.707127870435885,37112394.36931993,2630.098778966367,181.96899405890653,148.51285575396372,139.4768738043599,4768993.388082823,240.835957014235,23.383264385129728,21.5200550011359,12.206638863260537,36.266968002876865,18.013100512896838,19.112671127876865,6.707127870435885,37112394.36931993,2630.098778966367,181.96899405890653,148.51285575396372,139.4768738043599,4768993.388082823,240.835957014235,23.383264385129728,21.5200550011359,12.206638863260537,32.9793701171875,15.99146900883766,16.845398178658115,7.2940232624381,945268.4440467437,2630.098778966367,150.09025786706,103.16639512677176,151.84162125686547,128033.51662802724,240.835957014235,20.329234142271712,17.4200644997618,15.006375651041706,197651,6298,3729,1739,0.9438154495575812,0.030073967251942297,0.017806577307477426,0.008304005882998993,0.671091860496778,0.671091860496778,0.018016852590854497,VY,Catch
V_29,5408237.31316929,181039,35.91979861140908,12.159535469889466,10.594847439534078,6.422354058731129,19539879.78420565,1621.0206857505732,107.9318808886795,75.49237499783683,104.17379601353039,3271016.042390718,106.667029497446,18.068018727405246,16.4515554975878,10.745179469356282,35.91979861140908,11.672815067441384,10.085206157747962,6.180409000861944,17398475.979296565,1621.0206857505732,114.59257440473536,82.52534349947084,105.5034620591236,2876919.6046352196,106.667029497446,18.948419634162246,17.3543189992197,10.731277435823953,35.91979861140908,11.672815067441384,10.085206157747962,6.180409000861944,17398475.979296565,1621.0206857505732,114.59257440473536,82.52534349947084,105.5034620591236,2876919.6046352196,106.667029497446,18.948419634162246,17.3543189992197,10.731277435823953,33.4788818359325,14.817242457622996,14.607910696062731,6.336789381236466,386437.7536852412,1034.1844162228695,69.00674172950735,42.616416500611805,84.0921745238925,67453.95063936284,76.2372899993788,12.04534832845765,9.90116275040782,9.071491979359442,146229,5600,23687,5523,0.8077209882953397,0.030932561492275145,0.13083921144062882,0.030507238771756363,0.5319514359382486,0.5319514359382486,0.012472446516928828,VY,Catch
